Region,Brand,Category,CPU,GPU,RAM_GB,Storage_GB,OS,Color,Channel,PaymentMethod,Price,DiscountPct,FinalPrice,Quantity,TotalAmount,CustomerSegment,y_true,proba,pred
North America,HP,All-in-One,i3,NVIDIA RTX 2060,32,1024,macOS,Black,Reseller,Bank Transfer,1038.41,0,1038.41,1,1038.41,Student,0,0.4375,1
North America,Microsoft,Laptop,M1,NVIDIA GTX 1650,16,256,Linux,White,Reseller,Credit Card,1566.43,0,1566.43,2,3132.86,Enterprise,0,0.4025,1
Europe,HP,Laptop,M2,NVIDIA RTX 2060,8,2048,Windows 11,Gray,Online,PayPal,2980.66,10,2682.59,3,8047.77,Professional,0,0.4225,1
Asia-Pacific,Apple,Laptop,i5,AMD Radeon Vega,16,2048,macOS,Blue,Retail Store,PayPal,2734.2,20,2187.36,2,4374.72,Professional,1,0.515,1
Europe,Asus,Gaming Laptop,M1,AMD Radeon Vega,8,2048,macOS,White,Retail Store,PayPal,2381.85,20,1905.48,1,1905.48,Gamer,1,0.4,1
Asia-Pacific,HP,Gaming Laptop,Ryzen 5,Intel UHD,8,2048,Windows 10,Silver,Retail Store,Bank Transfer,2636.2,0,2636.2,1,2636.2,Enterprise,1,0.335,0
Europe,Microsoft,All-in-One,i3,NVIDIA GTX 1650,16,1024,Windows 11,Silver,Online,Bank Transfer,2686.98,10,2418.28,2,4836.56,Student,0,0.3775,1
Asia-Pacific,Samsung,Gaming Laptop,i3,NVIDIA RTX 2060,8,2048,Windows 10,Gray,Retail Store,Debit Card,1679.04,10,1511.14,3,4533.42,Student,0,0.3275,0
North America,Microsoft,Laptop,i3,Intel UHD,4,2048,Windows 10,White,Online,PayPal,774.98,15,658.73,1,658.73,Enterprise,0,0.38,1
North America,HP,All-in-One,Ryzen 5,NVIDIA RTX 2060,32,256,Windows 11,White,Retail Store,Debit Card,1187.09,0,1187.09,3,3561.27,Student,1,0.4025,1
North America,MSI,Desktop,Ryzen 5,Intel Iris,32,256,Windows 11,Silver,Online,Debit Card,1862.73,0,1862.73,1,1862.73,Enterprise,1,0.44,1
Asia-Pacific,Samsung,Desktop,i9,Intel Iris,16,256,macOS,Silver,Reseller,Debit Card,2738.44,0,2738.44,1,2738.44,Gamer,0,0.4275,1
Europe,Acer,All-in-One,Ryzen 7,NVIDIA RTX 2060,4,1024,Linux,Gray,Retail Store,Bank Transfer,2451.86,10,2206.67,1,2206.67,Enterprise,1,0.3275,0
North America,Apple,Gaming Laptop,Ryzen 5,AMD Radeon Vega,32,512,macOS,Black,Reseller,PayPal,1156.06,20,924.85,1,924.85,Gamer,1,0.5075,1
Europe,Apple,Laptop,i3,Intel UHD,8,2048,macOS,Silver,Retail Store,PayPal,1227.84,15,1043.66,3,3130.98,Professional,0,0.22,0
North America,Microsoft,Desktop,Ryzen 9,AMD Radeon Vega,32,512,macOS,Silver,Online,Debit Card,2592.16,15,2203.34,3,6610.02,Gamer,0,0.41,1
Europe,Razer,Gaming Laptop,i3,Intel UHD,32,512,Windows 10,Blue,Online,Bank Transfer,755.06,20,604.05,1,604.05,Student,0,0.4275,1
Europe,Microsoft,Laptop,Ryzen 9,AMD Radeon Vega,32,512,Windows 11,Black,Online,Bank Transfer,541.35,15,460.15,3,1380.45,Enterprise,0,0.41,1
Europe,Lenovo,Desktop,i5,NVIDIA RTX 2060,32,512,Windows 10,Gray,Retail Store,Debit Card,894.55,15,760.37,3,2281.11,Student,1,0.3425,0
North America,Razer,Gaming Laptop,i7,NVIDIA RTX 2060,32,1024,Windows 10,White,Online,Bank Transfer,1705.63,5,1620.35,3,4861.05,Professional,0,0.28,0
North America,Samsung,All-in-One,Ryzen 5,Intel UHD,32,2048,Windows 11,Silver,Online,PayPal,1748.57,0,1748.57,3,5245.71,Gamer,1,0.4275,1
North America,MSI,Desktop,i3,NVIDIA RTX 3060,4,256,Windows 10,Silver,Reseller,Credit Card,1439.38,20,1151.5,3,3454.5,Enterprise,0,0.285,0
Europe,Apple,Desktop,Ryzen 7,AMD Radeon Vega,32,2048,macOS,Blue,Online,Credit Card,1430.05,0,1430.05,2,2860.1,Student,1,0.36,1
North America,Apple,All-in-One,i9,NVIDIA RTX 2060,16,1024,macOS,Gray,Reseller,PayPal,2827.86,20,2262.29,2,4524.58,Gamer,1,0.4325,1
Asia-Pacific,Lenovo,Laptop,Ryzen 3,Intel UHD,8,512,Windows 10,Blue,Retail Store,Bank Transfer,1275.15,5,1211.39,1,1211.39,Student,0,0.4425,1
Asia-Pacific,Acer,Desktop,Ryzen 5,NVIDIA GTX 1650,32,2048,Linux,Blue,Online,PayPal,2702.9,0,2702.9,1,2702.9,Professional,0,0.3575,1
Europe,Razer,All-in-One,M1,NVIDIA GTX 1650,4,256,Linux,Black,Online,PayPal,465.71,5,442.42,1,442.42,Professional,0,0.4625,1
Asia-Pacific,Dell,Laptop,i7,NVIDIA GTX 1650,8,256,macOS,Black,Retail Store,Credit Card,601.19,10,541.07,1,541.07,Gamer,0,0.4725,1
Asia-Pacific,Dell,Laptop,Ryzen 3,NVIDIA RTX 3060,4,2048,Windows 11,Blue,Reseller,Debit Card,1204.36,5,1144.14,3,3432.42,Professional,1,0.4275,1
North America,MSI,Laptop,i9,NVIDIA GTX 1650,16,512,Linux,Blue,Reseller,Credit Card,1998.55,10,1798.69,2,3597.38,Professional,0,0.385,1
North America,Lenovo,All-in-One,Ryzen 7,NVIDIA RTX 3060,16,256,macOS,Silver,Online,Debit Card,708.28,20,566.62,1,566.62,Professional,1,0.3,0
Europe,Razer,Gaming Laptop,i3,NVIDIA RTX 3060,4,256,Windows 10,Blue,Reseller,Credit Card,2885.48,15,2452.66,3,7357.98,Professional,0,0.465,1
Europe,HP,Gaming Laptop,M1,NVIDIA GTX 1650,4,256,macOS,Blue,Online,PayPal,890.38,15,756.82,2,1513.64,Gamer,0,0.37,1
Asia-Pacific,Razer,Desktop,Ryzen 3,AMD Radeon Vega,32,256,Windows 10,White,Retail Store,Credit Card,2035.51,20,1628.41,1,1628.41,Gamer,0,0.3875,1
North America,Acer,Laptop,i3,NVIDIA RTX 3060,8,1024,Linux,Gray,Retail Store,Debit Card,1451.8,0,1451.8,3,4355.4,Enterprise,0,0.3675,1
Asia-Pacific,Apple,Laptop,i7,AMD Radeon Vega,16,2048,macOS,Gray,Reseller,PayPal,2905.31,5,2760.04,2,5520.08,Professional,1,0.4925,1
Europe,HP,All-in-One,Ryzen 5,AMD Radeon Vega,4,256,Windows 10,Blue,Retail Store,PayPal,1378.63,0,1378.63,2,2757.26,Professional,0,0.365,1
North America,HP,Laptop,i7,Intel UHD,32,512,Windows 11,Gray,Retail Store,Debit Card,2475.04,0,2475.04,1,2475.04,Professional,0,0.38,1
Europe,Samsung,All-in-One,Ryzen 5,AMD Radeon Vega,8,2048,Linux,Black,Reseller,Bank Transfer,2959.0,15,2515.15,2,5030.3,Gamer,0,0.46,1
North America,Asus,Laptop,M2,NVIDIA GTX 1650,32,2048,Linux,Silver,Retail Store,Bank Transfer,2867.88,20,2294.3,2,4588.6,Enterprise,0,0.41,1
North America,Samsung,Laptop,i3,Intel Iris,4,1024,Windows 10,White,Online,Debit Card,556.86,5,529.02,2,1058.04,Student,0,0.2375,0
North America,Lenovo,Laptop,Ryzen 5,AMD Radeon Vega,4,256,Linux,Black,Online,Credit Card,2752.7,0,2752.7,1,2752.7,Gamer,1,0.395,1
Asia-Pacific,Dell,Laptop,i9,NVIDIA GTX 1650,8,256,Linux,Silver,Reseller,PayPal,1579.62,0,1579.62,1,1579.62,Professional,1,0.515,1
Asia-Pacific,MSI,Gaming Laptop,Ryzen 9,NVIDIA GTX 1650,16,2048,Windows 11,Black,Online,PayPal,1591.89,15,1353.11,2,2706.22,Gamer,0,0.405,1
Asia-Pacific,Dell,All-in-One,Ryzen 3,NVIDIA GTX 1650,32,1024,macOS,White,Online,Bank Transfer,2891.91,5,2747.31,1,2747.31,Student,0,0.475,1
Europe,Microsoft,Desktop,i7,Intel Iris,4,1024,macOS,White,Reseller,PayPal,1193.34,15,1014.34,2,2028.68,Student,0,0.3975,1
North America,Dell,Laptop,M2,Intel UHD,8,1024,Windows 11,Black,Online,Credit Card,2432.5,5,2310.88,1,2310.88,Professional,0,0.4375,1
Asia-Pacific,Acer,Desktop,Ryzen 9,NVIDIA GTX 1650,32,256,macOS,Black,Online,Debit Card,1738.16,20,1390.53,2,2781.06,Enterprise,1,0.37,1
Asia-Pacific,MSI,All-in-One,M1,NVIDIA GTX 1650,32,2048,Windows 11,Black,Retail Store,Bank Transfer,1682.94,0,1682.94,2,3365.88,Student,0,0.45,1
Europe,Asus,Laptop,M2,Intel UHD,8,1024,Linux,Silver,Retail Store,Bank Transfer,2884.87,20,2307.9,2,4615.8,Gamer,1,0.33,0
Asia-Pacific,HP,Laptop,i7,NVIDIA RTX 2060,16,1024,Windows 11,Gray,Retail Store,Bank Transfer,2056.89,15,1748.36,1,1748.36,Enterprise,0,0.45,1
North America,Samsung,All-in-One,Ryzen 5,Intel Iris,4,256,Linux,Black,Online,Credit Card,2655.11,20,2124.09,3,6372.27,Student,0,0.435,1
Europe,Dell,Laptop,Ryzen 3,NVIDIA RTX 3060,32,1024,Windows 10,White,Reseller,Debit Card,1483.51,20,1186.81,1,1186.81,Professional,1,0.38,1
North America,Apple,Gaming Laptop,i7,AMD Radeon Vega,8,512,macOS,Silver,Online,Credit Card,2177.17,20,1741.74,2,3483.48,Enterprise,1,0.4575,1
Europe,Dell,Laptop,i7,NVIDIA RTX 3060,16,2048,macOS,White,Online,PayPal,1617.86,5,1536.97,3,4610.91,Gamer,1,0.4425,1
Europe,Microsoft,Laptop,i9,NVIDIA RTX 2060,16,512,macOS,Gray,Reseller,Debit Card,621.61,10,559.45,3,1678.35,Professional,1,0.38,1
Europe,HP,Desktop,i9,NVIDIA GTX 1650,16,512,macOS,Black,Online,Debit Card,508.04,15,431.83,2,863.66,Professional,0,0.4,1
Asia-Pacific,Samsung,Laptop,i7,NVIDIA RTX 2060,8,2048,Windows 11,Gray,Reseller,PayPal,2687.54,10,2418.79,1,2418.79,Student,1,0.4075,1
Asia-Pacific,Samsung,Laptop,Ryzen 5,AMD Radeon Vega,8,256,Linux,Silver,Online,Credit Card,1040.85,5,988.81,2,1977.62,Professional,1,0.3,0
North America,Lenovo,Gaming Laptop,Ryzen 7,Intel Iris,8,256,macOS,Gray,Reseller,Debit Card,555.08,15,471.82,1,471.82,Professional,0,0.4,1
Europe,Microsoft,All-in-One,Ryzen 5,Intel UHD,4,256,Windows 11,Blue,Online,Credit Card,2469.36,10,2222.42,1,2222.42,Enterprise,0,0.3525,1
North America,Razer,Desktop,i7,AMD Radeon Vega,32,256,Windows 10,Silver,Reseller,Debit Card,878.94,15,747.1,2,1494.2,Enterprise,0,0.4075,1
Europe,MSI,Gaming Laptop,i5,NVIDIA GTX 1650,4,512,macOS,White,Online,Credit Card,827.43,0,827.43,3,2482.29,Student,1,0.31,0
Europe,Asus,Laptop,Ryzen 5,Intel UHD,8,512,macOS,Blue,Retail Store,Credit Card,499.59,15,424.65,3,1273.95,Student,0,0.3675,1
Asia-Pacific,MSI,Laptop,M2,NVIDIA RTX 3060,16,1024,Linux,Silver,Online,PayPal,2863.49,0,2863.49,2,5726.98,Professional,0,0.4525,1
Asia-Pacific,Asus,All-in-One,i9,Intel UHD,8,512,Linux,Black,Online,Bank Transfer,442.76,20,354.21,2,708.42,Professional,1,0.3675,1
North America,Microsoft,Desktop,i5,NVIDIA RTX 3060,4,512,Windows 11,Blue,Retail Store,Debit Card,2883.91,10,2595.52,2,5191.04,Enterprise,1,0.365,1
North America,Dell,Desktop,i9,NVIDIA RTX 2060,16,512,macOS,Black,Retail Store,PayPal,2633.38,20,2106.7,1,2106.7,Enterprise,0,0.4075,1
North America,Microsoft,Laptop,M2,NVIDIA RTX 2060,16,1024,macOS,White,Retail Store,Bank Transfer,2999.73,20,2399.78,3,7199.34,Professional,1,0.3775,1
Asia-Pacific,Dell,Desktop,Ryzen 5,Intel UHD,8,2048,macOS,Black,Online,PayPal,2675.02,20,2140.02,3,6420.06,Student,0,0.42,1
North America,Dell,Laptop,M2,AMD Radeon Vega,4,512,Windows 11,Gray,Reseller,Bank Transfer,1153.11,10,1037.8,1,1037.8,Gamer,0,0.4525,1
Asia-Pacific,Lenovo,Laptop,i7,NVIDIA GTX 1650,16,512,Windows 11,Blue,Reseller,Credit Card,1048.06,10,943.25,3,2829.75,Professional,0,0.4175,1
North America,MSI,Gaming Laptop,Ryzen 7,AMD Radeon Vega,8,256,macOS,Silver,Online,Credit Card,961.88,15,817.6,3,2452.8,Student,1,0.4075,1
North America,Acer,Gaming Laptop,M1,NVIDIA RTX 3060,4,256,macOS,White,Online,Debit Card,2183.17,10,1964.85,2,3929.7,Professional,0,0.445,1
North America,Asus,All-in-One,i9,AMD Radeon Vega,4,2048,Windows 11,Black,Online,Bank Transfer,2359.71,15,2005.75,1,2005.75,Student,0,0.445,1
Europe,Asus,Laptop,M2,Intel Iris,16,2048,Linux,White,Online,Debit Card,1019.22,0,1019.22,2,2038.44,Enterprise,1,0.4025,1
Europe,Razer,Desktop,M1,Intel UHD,8,2048,Linux,Black,Retail Store,Debit Card,2141.04,5,2033.99,2,4067.98,Gamer,0,0.405,1
North America,Acer,Desktop,i3,Intel Iris,8,512,Windows 11,Blue,Online,Debit Card,1657.7,0,1657.7,3,4973.1,Gamer,1,0.395,1
Europe,Razer,Laptop,M2,NVIDIA GTX 1650,4,1024,Windows 11,Silver,Reseller,Credit Card,865.81,15,735.94,1,735.94,Gamer,1,0.38,1
Europe,Lenovo,All-in-One,M2,Intel Iris,16,256,Windows 10,Black,Retail Store,Debit Card,2065.97,5,1962.67,2,3925.34,Gamer,1,0.3975,1
North America,Apple,Laptop,i7,AMD Radeon Vega,4,2048,macOS,White,Online,Credit Card,1091.55,0,1091.55,3,3274.65,Professional,1,0.255,0
North America,HP,All-in-One,i9,Intel Iris,32,512,Windows 11,White,Retail Store,Credit Card,2851.82,15,2424.05,1,2424.05,Professional,0,0.3175,0
North America,Acer,Desktop,i3,Intel UHD,32,512,Windows 10,Gray,Reseller,Debit Card,690.14,5,655.63,1,655.63,Student,1,0.36,1
Europe,HP,Gaming Laptop,Ryzen 7,Intel Iris,32,512,Linux,White,Retail Store,Credit Card,1800.89,0,1800.89,2,3601.78,Gamer,0,0.345,0
Europe,Acer,All-in-One,Ryzen 7,Intel Iris,8,256,Windows 10,White,Retail Store,Credit Card,615.92,5,585.12,1,585.12,Student,0,0.355,1
Europe,Lenovo,Desktop,i9,Intel Iris,32,256,Windows 10,Silver,Online,Credit Card,763.26,10,686.93,1,686.93,Student,1,0.3625,1
Asia-Pacific,Razer,Laptop,Ryzen 9,NVIDIA RTX 3060,16,2048,Windows 10,Black,Online,Bank Transfer,950.86,15,808.23,3,2424.69,Student,0,0.465,1
Asia-Pacific,Apple,Laptop,M1,NVIDIA GTX 1650,4,2048,macOS,Black,Online,PayPal,2476.22,5,2352.41,2,4704.82,Gamer,0,0.3575,1
Europe,MSI,All-in-One,i5,NVIDIA RTX 3060,8,256,Windows 10,Silver,Retail Store,Debit Card,2337.71,0,2337.71,1,2337.71,Enterprise,0,0.255,0
Asia-Pacific,Microsoft,Gaming Laptop,i9,Intel UHD,8,1024,macOS,Black,Retail Store,Debit Card,2736.94,5,2600.09,1,2600.09,Student,0,0.4075,1
North America,Asus,Laptop,M2,AMD Radeon Vega,8,1024,Linux,White,Retail Store,Bank Transfer,868.17,15,737.94,2,1475.88,Student,1,0.345,0
Asia-Pacific,Dell,Desktop,i3,Intel UHD,16,512,Windows 10,Blue,Retail Store,Debit Card,2524.05,15,2145.44,2,4290.88,Gamer,0,0.4175,1
Asia-Pacific,Razer,Gaming Laptop,Ryzen 9,Intel Iris,8,256,Linux,Silver,Online,Credit Card,1875.11,5,1781.35,3,5344.05,Gamer,0,0.365,1
Europe,Asus,Desktop,i3,Intel Iris,8,512,Linux,Silver,Online,Debit Card,592.94,5,563.29,1,563.29,Gamer,0,0.315,0
North America,Microsoft,Desktop,Ryzen 3,NVIDIA RTX 3060,16,1024,Linux,White,Retail Store,Credit Card,1447.01,5,1374.66,2,2749.32,Gamer,0,0.365,1
North America,Lenovo,All-in-One,i7,Intel Iris,16,1024,Windows 10,Black,Reseller,Debit Card,2942.87,20,2354.3,2,4708.6,Student,0,0.36,1
North America,Acer,All-in-One,Ryzen 9,Intel UHD,32,2048,Linux,Blue,Retail Store,Bank Transfer,1861.86,5,1768.77,3,5306.31,Gamer,1,0.3425,0
